"Tabela 839 - Área plantada, área colhida, quantidade produzida e rendimento médio de milho, 1ª e 2ª safras"
"Variável - Quantidade produzida (Toneladas)"
"Unidade da Federação";"Ano x Produto das lavouras temporárias"
"Unidade da Federação";"2022"
"Unidade da Federação";"Total";"Milho (em grão) - 1ª safra"
"Rondônia";"1485546";"79680"
"Acre";"135276";"92653"
"Amazonas";"5593";"4172"
"Roraima";"97870";"97870"
"Pará";"1240534";"538604"
"Amapá";"2350";"2350"
"Tocantins";"1936933";"412906"
"Maranhão";"2278917";"1452488"
"Piauí";"2591483";"1955601"
"Ceará";"538505";"538505"
"Rio Grande do Norte";"28509";"28509"
"Paraíba";"69495";"69495"
"Pernambuco";"71062";"32298"
"Alagoas";"48055";"-"
"Sergipe";"793896";"-"
"Bahia";"2461097";"1487345"
"Minas Gerais";"7847614";"5591730"
"Espírito Santo";"52537";"35330"
"Rio de Janeiro";"10775";"6412"
"São Paulo";"4785141";"2285859"
"Paraná";"15561027";"2921985"
"Santa Catarina";"2138770";"2138770"
"Rio Grande do Sul";"3000744";"3000744"
"Mato Grosso do Sul";"12870873";"213605"
"Mato Grosso";"38331222";"416432"
"Goiás";"10709893";"1452895"
"Distrito Federal";"327000";"117000"
"Fonte: IBGE - Produção Agrícola Municipal"

"Notas"
"1 - Subentende a possibilidade de cultivos sucessivos ou simultâneos (simples, associados e/ou intercalados) no mesmo ano e no mesmo local, podendo, por isto, a área informada da cultura exceder a área geográfica do município."
"2 - A diferença entre a área plantada e a área colhida na lavoura temporária é considerada como área perdida."
"3 - Os dados das safras 2009 e 2010 da UF São Paulo não estão disponíveis, pois não foi possível obter informações detalhadas destas  safras."
"4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
